"study","treatment","therm1","therm2","therm3","therm4"
2,"No Contact",42,36,33,39
2,"No Contact",48,50,53,58
2,"Same-Sex Marriage Script by Gay Canvasser",50,50,57,42
2,"Same-Sex Marriage Script by Gay Canvasser",41,41,35,40
2,"No Contact",60,54,NA,59
2,"No Contact",100,96,99,NA
2,"No Contact",50,57,49,60
1,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",10,10,NA,NA
1,"No Contact",79,79,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",94,94,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",62,74,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",50,54,NA,NA
1,"Recycling Script by Gay Canvasser",22,22,NA,NA
1,"No Contact",80,NA,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",86,87,NA,NA
1,"Recycling Script by Gay Canvasser",96,96,NA,NA
1,"Recycling Script by Gay Canvasser",86,86,NA,NA
1,"Recycling Script by Gay Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",95,95,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",86,86,NA,NA
1,"Recycling Script by Gay Canvasser",90,90,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",84,84,NA,NA
1,"No Contact",70,NA,NA,NA
1,"No Contact",57,57,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",50,52,NA,NA
1,"Recycling Script by Straight Canvasser",81,NA,NA,NA
1,"Recycling Script by Straight Canvasser",62,62,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,44,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",72,72,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",58,58,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",87,87,NA,NA
1,"No Contact",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
2,"No Contact",99,99,84,85
2,"No Contact",50,NA,44,45
2,"No Contact",34,29,16,36
2,"No Contact",51,48,54,60
1,"Same-Sex Marriage Script by Straight Canvasser",69,69,NA,NA
1,"No Contact",3,3,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",81,81,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",100,94,NA,NA
1,"No Contact",50,57,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",49,49,NA,NA
1,"No Contact",63,63,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,53,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",19,19,NA,NA
1,"No Contact",21,21,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",70,NA,NA,NA
1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
1,"Recycling Script by Gay Canvasser",92,92,NA,NA
1,"Recycling Script by Gay Canvasser",11,11,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,44,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,46,41,NA
1,"Recycling Script by Gay Canvasser",59,57,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",75,75,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",84,84,NA,NA
1,"No Contact",76,76,NA,NA
1,"Recycling Script by Gay Canvasser",38,NA,NA,NA
1,"No Contact",38,38,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",97,97,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",89,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
1,"No Contact",11,11,NA,NA
1,"Recycling Script by Gay Canvasser",40,40,NA,NA
1,"Recycling Script by Gay Canvasser",50,52,NA,NA
1,"No Contact",90,NA,NA,NA
1,"Recycling Script by Straight Canvasser",50,54,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"Recycling Script by Straight Canvasser",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,56,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",100,95,NA,NA
1,"Recycling Script by Straight Canvasser",93,NA,NA,NA
1,"Recycling Script by Gay Canvasser",78,85,NA,NA
1,"Recycling Script by Gay Canvasser",25,25,NA,NA
1,"No Contact",88,88,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",87,87,NA,NA
1,"Recycling Script by Gay Canvasser",40,NA,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"No Contact",72,72,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",8,8,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",66,66,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",53,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",85,82,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",95,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",96,97,100,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",93,93,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",34,NA,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",82,82,NA,NA
1,"Recycling Script by Gay Canvasser",53,53,NA,NA
1,"Recycling Script by Gay Canvasser",78,78,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",15,15,NA,NA
1,"No Contact",49,49,NA,NA
2,"No Contact",57,58,72,56
2,"No Contact",99,100,NA,100
2,"No Contact",50,58,NA,41
1,"No Contact",50,50,NA,NA
1,"No Contact",3,3,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",75,75,63,60
2,"No Contact",91,84,70,93
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,93,NA,NA
1,"Recycling Script by Gay Canvasser",85,85,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",50,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",22,37,36,44
2,"Same-Sex Marriage Script by Gay Canvasser",96,100,98,NA
2,"No Contact",88,83,90,90
2,"No Contact",50,NA,48,42
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",9,9,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",96,96,NA,NA
1,"Recycling Script by Gay Canvasser",24,24,NA,NA
1,"No Contact",45,45,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",50,52,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",57,57,NA,NA
1,"No Contact",94,94,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,45,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,95,NA,NA
1,"Recycling Script by Straight Canvasser",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",15,23,NA,NA
1,"Recycling Script by Gay Canvasser",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",100,97,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",75,NA,NA,NA
1,"No Contact",88,88,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",63,63,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",1,1,NA,NA
2,"No Contact",100,100,100,NA
2,"No Contact",51,44,60,61
1,"No Contact",75,75,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",44,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",1,NA,NA,NA
1,"No Contact",94,94,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,54,NA,NA
1,"No Contact",12,12,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",12,12,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",73,NA,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",9,9,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",74,79,NA,71
1,"No Contact",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",71,71,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",61,61,NA,NA
1,"No Contact",57,57,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",97,97,NA,NA
1,"No Contact",84,84,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",72,72,NA,NA
1,"No Contact",100,97,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",75,75,NA,NA
1,"No Contact",100,91,NA,NA
1,"Recycling Script by Gay Canvasser",2,2,NA,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",56,56,NA,NA
1,"Recycling Script by Gay Canvasser",3,3,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",36,35,60,32
1,"Recycling Script by Gay Canvasser",41,41,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",25,25,NA,NA
1,"No Contact",50,59,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",10,4,8,7
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",79,67,81,79
2,"No Contact",100,100,NA,93
2,"No Contact",53,61,59,62
1,"No Contact",98,98,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",78,79,NA,NA
2,"No Contact",60,54,42,62
2,"No Contact",50,NA,49,43
1,"No Contact",6,6,NA,NA
1,"No Contact",65,65,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",93,93,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",46,44,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,97
1,"No Contact",50,50,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",1,1,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",20,22,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",15,16,NA,NA
2,"No Contact",90,86,85,90
2,"No Contact",1,0,0,1
2,"Same-Sex Marriage Script by Gay Canvasser",50,48,49,NA
2,"Same-Sex Marriage Script by Gay Canvasser",52,55,36,52
1,"Recycling Script by Gay Canvasser",50,50,NA,NA
1,"Recycling Script by Gay Canvasser",100,98,NA,NA
1,"Recycling Script by Gay Canvasser",69,69,NA,NA
1,"Recycling Script by Gay Canvasser",53,53,NA,NA
1,"Recycling Script by Gay Canvasser",4,4,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",52,45,50,41
1,"No Contact",50,50,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",93,93,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",66,94,NA,78
1,"Same-Sex Marriage Script by Straight Canvasser",41,41,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",62,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",66,66,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",95,95,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,98,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",93,NA,NA,NA
1,"No Contact",98,98,NA,NA
1,"Recycling Script by Gay Canvasser",92,89,NA,NA
1,"Recycling Script by Gay Canvasser",41,41,NA,NA
1,"No Contact",100,95,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",77,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",82,NA,NA,NA
1,"Recycling Script by Straight Canvasser",45,NA,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",50,51,NA,NA
1,"Recycling Script by Gay Canvasser",37,37,NA,NA
1,"Recycling Script by Gay Canvasser",50,55,NA,NA
1,"No Contact",91,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",24,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",72,72,NA,NA
1,"No Contact",49,49,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",96,96,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,52,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",21,21,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,NA,NA,NA
1,"No Contact",94,94,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",53,NA,NA,NA
1,"Recycling Script by Straight Canvasser",46,46,NA,NA
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"No Contact",90,90,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",75,75,NA,NA
1,"No Contact",19,19,NA,NA
1,"Recycling Script by Gay Canvasser",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",5,5,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",61,61,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,56,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,46,NA,NA
1,"No Contact",100,94,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",12,12,NA,NA
1,"No Contact",92,92,NA,NA
1,"Recycling Script by Gay Canvasser",5,5,NA,NA
1,"Recycling Script by Gay Canvasser",50,44,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",56,67,NA,NA
1,"Recycling Script by Straight Canvasser",31,NA,NA,NA
1,"Recycling Script by Straight Canvasser",69,69,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,45,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",29,29,NA,NA
1,"No Contact",59,59,NA,NA
1,"No Contact",89,89,NA,NA
1,"No Contact",50,56,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",100,NA,NA,NA
1,"Recycling Script by Straight Canvasser",11,11,NA,NA
1,"Recycling Script by Straight Canvasser",79,79,NA,NA
1,"Recycling Script by Straight Canvasser",32,32,NA,NA
1,"No Contact",72,72,NA,NA
1,"Recycling Script by Straight Canvasser",79,79,NA,NA
1,"Recycling Script by Straight Canvasser",100,NA,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",89,89,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",65,65,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,57,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",32,32,NA,NA
1,"Recycling Script by Straight Canvasser",10,10,NA,NA
1,"No Contact",40,NA,NA,NA
1,"No Contact",89,NA,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",22,22,NA,NA
1,"No Contact",93,93,NA,NA
1,"No Contact",83,83,NA,NA
1,"No Contact",54,54,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",42,42,NA,NA
1,"Recycling Script by Gay Canvasser",89,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",41,41,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",80,80,NA,NA
1,"Recycling Script by Gay Canvasser",72,72,NA,NA
1,"Recycling Script by Gay Canvasser",53,53,NA,NA
1,"Recycling Script by Gay Canvasser",50,52,NA,NA
1,"Recycling Script by Gay Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",19,19,NA,NA
1,"No Contact",78,78,NA,NA
1,"Recycling Script by Gay Canvasser",20,20,NA,NA
1,"Recycling Script by Straight Canvasser",7,7,NA,NA
1,"Recycling Script by Straight Canvasser",50,48,NA,NA
1,"Recycling Script by Gay Canvasser",50,54,NA,NA
1,"Recycling Script by Straight Canvasser",40,40,NA,NA
1,"No Contact",100,97,NA,NA
1,"No Contact",84,84,NA,NA
1,"No Contact",76,NA,NA,NA
1,"No Contact",72,72,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",2,2,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",48,48,NA,NA
1,"No Contact",84,NA,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",75,75,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",30,30,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",53,NA,NA,NA
1,"No Contact",50,44,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",68,68,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",51,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",50,51,NA,NA
1,"Recycling Script by Gay Canvasser",100,NA,NA,NA
1,"Recycling Script by Gay Canvasser",77,NA,NA,NA
1,"No Contact",50,60,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",10,10,NA,NA
1,"Recycling Script by Gay Canvasser",100,97,NA,NA
1,"Recycling Script by Gay Canvasser",30,30,NA,NA
1,"Recycling Script by Gay Canvasser",12,12,NA,NA
1,"Recycling Script by Gay Canvasser",61,61,NA,NA
1,"Recycling Script by Straight Canvasser",10,10,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",7,7,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",5,NA,NA,NA
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",50,45,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",15,15,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",2,2,NA,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",20,20,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",72,72,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",28,30,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",35,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",19,29,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",10,11,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",59,59,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",50,47,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,50,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",43,43,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",88,88,NA,NA
1,"Recycling Script by Straight Canvasser",1,NA,NA,NA
1,"Recycling Script by Straight Canvasser",6,6,NA,NA
1,"Recycling Script by Straight Canvasser",69,69,NA,NA
1,"No Contact",59,59,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",100,93,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",30,30,NA,NA
1,"No Contact",97,NA,NA,NA
1,"No Contact",30,30,NA,NA
1,"Recycling Script by Straight Canvasser",55,55,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",52,52,NA,NA
1,"Recycling Script by Straight Canvasser",2,2,NA,NA
1,"Recycling Script by Gay Canvasser",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",40,40,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",86,86,NA,NA
1,"No Contact",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,64,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",82,80,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",59,65,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",89,NA,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",67,67,NA,NA
1,"Recycling Script by Straight Canvasser",58,58,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",65,65,NA,NA
1,"No Contact",54,54,NA,NA
1,"Recycling Script by Straight Canvasser",50,47,NA,NA
1,"Recycling Script by Straight Canvasser",6,3,NA,NA
1,"Recycling Script by Straight Canvasser",96,96,NA,NA
1,"Recycling Script by Gay Canvasser",50,57,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",15,15,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,53,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",40,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",57,57,NA,NA
1,"No Contact",52,52,NA,NA
1,"Recycling Script by Gay Canvasser",99,99,NA,NA
1,"Recycling Script by Gay Canvasser",76,76,NA,NA
1,"Recycling Script by Straight Canvasser",100,98,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",50,47,NA,NA
1,"Recycling Script by Gay Canvasser",54,54,NA,NA
1,"No Contact",29,NA,NA,NA
1,"No Contact",20,20,NA,NA
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"Recycling Script by Straight Canvasser",91,91,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",11,11,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",45,45,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",85,87,NA,NA
1,"Recycling Script by Straight Canvasser",90,90,NA,NA
1,"Recycling Script by Gay Canvasser",60,60,NA,NA
1,"Recycling Script by Gay Canvasser",95,95,NA,NA
1,"No Contact",96,96,NA,NA
1,"No Contact",93,NA,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",55,55,NA,NA
1,"Recycling Script by Gay Canvasser",50,45,NA,NA
1,"Recycling Script by Gay Canvasser",96,99,NA,NA
1,"Recycling Script by Gay Canvasser",50,46,NA,NA
1,"No Contact",6,6,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,52,NA,NA
1,"No Contact",62,NA,NA,NA
1,"No Contact",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",26,26,NA,NA
1,"Recycling Script by Straight Canvasser",89,89,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",46,44,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",67,67,NA,NA
1,"Recycling Script by Straight Canvasser",1,1,NA,NA
1,"Recycling Script by Straight Canvasser",83,83,NA,NA
1,"Recycling Script by Gay Canvasser",83,83,NA,NA
1,"Recycling Script by Gay Canvasser",99,96,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",59,59,NA,NA
1,"Recycling Script by Straight Canvasser",1,1,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",58,58,NA,NA
1,"No Contact",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,53,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
1,"No Contact",40,NA,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",100,97,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",78,78,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",56,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",81,81,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",99,100,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,53,NA,NA
1,"Recycling Script by Straight Canvasser",13,13,NA,NA
1,"Recycling Script by Straight Canvasser",90,90,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,57,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",97,100,NA,NA
